channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
1,0,3,0,288,288,0,2158554.062,2159240.438,686.375
1,1,4,0,384,384,0,2658524.875,2659151.812,626.938
1,2,9,0,864,864,0,5158367.625,5159043.438,675.812
1,3,15,0,1440,1440,0,8158173.688,8158885.250,711.562
1,4,0,0,1536,1536,0,8658142.812,8658895.312,752.500
1,5,3,0,1824,1824,0,10158042.062,10158770.062,728.000
1,6,4,0,1920,1920,0,10658014.500,10658746.688,732.188
2,0,3,0,288,288,0,2158554.062,2159261.250,707.188
2,1,4,0,384,384,0,2658524.875,2659160.375,635.500
2,2,9,0,864,864,0,5158367.625,5159052.000,684.375
2,3,15,0,1440,1440,0,8158173.688,8158906.062,732.375
2,4,0,0,1536,1536,0,8658142.812,8658903.875,761.062
2,5,3,0,1824,1824,0,10158042.062,10158778.625,736.562
2,6,4,0,1920,1920,0,10658014.500,10658767.500,753.000
3,0,3,0,288,288,0,2158554.062,2159283.500,729.438
3,1,4,0,384,384,0,2658524.875,2659200.750,675.875
3,2,9,0,864,864,0,5158367.625,5159074.250,706.625
3,3,15,0,1440,1440,0,8158173.688,8158928.312,754.625
3,4,0,0,1536,1536,0,8658142.812,8658926.125,783.312
3,5,3,0,1824,1824,0,10158042.062,10158800.875,758.812
3,6,4,0,1920,1920,0,10658014.500,10658777.500,763.000
4,0,3,0,288,288,0,2158554.062,2159293.000,738.938
4,1,4,0,384,384,0,2658524.875,2659210.250,685.375
4,2,9,0,864,864,0,5158367.625,5159096.000,728.375
4,3,15,0,1440,1440,0,8158173.688,8158937.812,764.125
4,4,0,0,1536,1536,0,8658142.812,8658947.875,805.062
4,5,3,0,1824,1824,0,10158042.062,10158822.625,780.562
4,6,4,0,1920,1920,0,10658014.500,10658799.250,784.750
5,0,3,0,288,288,0,2158554.062,2159314.688,760.625
5,1,4,0,384,384,0,2658524.875,2659231.938,707.062
5,2,9,0,864,864,0,5158367.625,5159105.438,737.812
5,3,15,0,1440,1440,0,8158173.688,8158959.500,785.812
5,4,0,0,1536,1536,0,8658142.812,8658957.312,814.500
5,5,3,0,1824,1824,0,10158042.062,10158832.062,790.000
5,6,4,0,1920,1920,0,10658014.500,10658820.938,806.438
6,0,3,0,288,288,0,2158554.062,2159336.625,782.562
6,1,4,0,384,384,0,2658524.875,2659253.875,729.000
6,2,9,0,864,864,0,5158367.625,5159127.375,759.750
6,3,15,0,1440,1440,0,8158173.688,8158981.438,807.750
6,4,0,0,1536,1536,0,8658142.812,8658979.250,836.438
6,5,3,0,1824,1824,0,10158042.062,10158854.000,811.938
6,6,4,0,1920,1920,0,10658014.500,10658830.625,816.125
