channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
2,20,3,0,6432,6432,0,34156506.062,34157236.125,730.062
2,21,4,0,6528,6528,0,34656480.000,34657239.875,759.875
2,22,9,0,7008,7008,0,37156324.062,37156956.750,632.688
2,23,15,0,7584,7584,0,40156132.500,40156836.750,704.250
2,24,0,0,7680,7680,0,40656098.750,40656730.688,631.938
2,25,3,0,7968,7968,0,42156000.875,42156760.188,759.312
2,26,4,0,8064,8064,0,42655965.938,42656705.375,739.438
2,27,9,0,8544,8544,0,45155807.750,45156440.438,632.688
2,28,15,0,9120,9120,0,48155610.062,48156286.688,676.625
2,29,0,0,9216,9216,0,48655583.812,48656260.312,676.500
2,30,3,0,9504,9504,0,50155485.188,50156237.562,752.375
2,31,4,0,9600,9600,0,50655453.875,50656193.312,739.438
2,32,9,0,10080,10080,0,53155299.750,53156036.000,736.250
2,33,15,0,10656,10656,0,56155103.000,56155737.562,634.562
2,34,0,0,10752,10752,0,56655074.312,56655861.188,786.875
2,35,3,0,11040,11040,0,58154974.938,58155623.250,648.312
2,36,4,0,11136,11136,0,58654942.688,58655695.688,753.000
3,0,3,0,288,288,0,2158554.062,2159283.500,729.438
3,1,4,0,384,384,0,2658524.875,2659200.750,675.875
3,2,9,0,864,864,0,5158367.625,5159074.250,706.625
3,3,15,0,1440,1440,0,8158170.188,8158908.562,738.375
3,4,0,0,1536,1536,0,8658143.438,8658881.875,738.438
3,5,3,0,1824,1824,0,10158047.562,10158854.625,807.062
3,6,4,0,1920,1920,0,10658014.000,10658718.375,704.375
3,7,9,0,2400,2400,0,13157856.000,13158619.312,763.312
3,8,15,0,2976,2976,0,16157658.125,16158416.250,758.125
3,9,0,0,3072,3072,0,16657628.750,16658412.062,783.312
3,10,3,0,3360,3360,0,18157530.062,18158282.375,752.312
3,11,4,0,3456,3456,0,18657504.000,18658286.125,782.125
3,12,9,0,3936,3936,0,21157347.875,21158113.250,765.375
3,13,15,0,4512,4512,0,24157146.125,24157883.688,737.562
3,14,0,0,4608,4608,0,24657118.562,24657857.000,738.438
3,15,3,0,4896,4896,0,26157018.062,26157672.000,653.938
3,16,4,0,4992,4992,0,26656991.500,26657650.938,659.438
3,17,9,0,5472,5472,0,29156832.000,29157484.375,652.375
3,18,15,0,6048,6048,0,32156637.750,32157444.188,806.438
3,19,0,0,6144,6144,0,32656610.375,32657419.500,809.125
3,20,3,0,6432,6432,0,34156506.062,34157258.375,752.312
3,21,4,0,6528,6528,0,34656480.000,34657262.125,782.125
3,22,9,0,7008,7008,0,37156324.062,37156979.000,654.938
3,23,15,0,7584,7584,0,40156132.500,40156859.000,726.500
3,24,0,0,7680,7680,0,40656098.750,40656758.812,660.062
3,25,3,0,7968,7968,0,42156000.875,42156782.438,781.562
3,26,4,0,8064,8064,0,42655965.938,42656727.625,761.688
3,27,9,0,8544,8544,0,45155807.750,45156462.688,654.938
3,28,15,0,9120,9120,0,48155610.062,48156296.688,686.625
3,29,0,0,9216,9216,0,48655583.812,48656270.312,686.500
3,30,3,0,9504,9504,0,50155485.188,50156247.562,762.375
3,31,4,0,9600,9600,0,50655453.875,50656215.562,761.688
3,32,9,0,10080,10080,0,53155299.750,53156058.250,758.500
3,33,15,0,10656,10656,0,56155103.000,56155759.812,656.812
3,34,0,0,10752,10752,0,56655074.312,56655883.438,809.125
3,35,3,0,11040,11040,0,58154974.938,58155633.250,658.312
3,36,4,0,11136,11136,0,58654942.688,58655705.688,763.000
4,0,3,0,288,288,0,2158554.062,2159293.000,738.938
4,1,4,0,384,384,0,2658524.875,2659210.250,685.375
4,2,9,0,864,864,0,5158367.625,5159096.000,728.375
4,3,15,0,1440,1440,0,8158170.188,8158930.312,760.125
4,4,0,0,1536,1536,0,8658143.438,8658903.625,760.188
4,5,3,0,1824,1824,0,10158047.562,10158864.125,816.562
4,6,4,0,1920,1920,0,10658014.000,10658740.125,726.125
4,7,9,0,2400,2400,0,13157856.000,13158641.062,785.062
4,8,15,0,2976,2976,0,16157658.125,16158438.000,779.875
4,9,0,0,3072,3072,0,16657628.750,16658433.812,805.062
4,10,3,0,3360,3360,0,18157530.062,18158291.875,761.812
4,11,4,0,3456,3456,0,18657504.000,18658307.875,803.875
4,12,9,0,3936,3936,0,21157347.875,21158135.000,787.125
4,13,15,0,4512,4512,0,24157146.125,24157905.438,759.312
4,14,0,0,4608,4608,0,24657118.562,24657878.750,760.188
4,15,3,0,4896,4896,0,26157018.062,26157693.750,675.688
4,16,4,0,4992,4992,0,26656991.500,26657672.688,681.188
4,17,9,0,5472,5472,0,29156832.000,29157506.125,674.125
4,18,15,0,6048,6048,0,32156637.750,32157453.688,815.938
4,19,0,0,6144,6144,0,32656610.375,32657441.250,830.875
4,20,3,0,6432,6432,0,34156506.062,34157267.875,761.812
4,21,4,0,6528,6528,0,34656480.000,34657283.875,803.875
4,22,9,0,7008,7008,0,37156324.062,37157000.750,676.688
4,23,15,0,7584,7584,0,40156132.500,40156868.500,736.000
4,24,0,0,7680,7680,0,40656098.750,40656780.562,681.812
4,25,3,0,7968,7968,0,42156000.875,42156804.188,803.312
4,26,4,0,8064,8064,0,42655965.938,42656749.375,783.438
4,27,9,0,8544,8544,0,45155807.750,45156484.438,676.688
4,28,15,0,9120,9120,0,48155610.062,48156318.438,708.375
4,29,0,0,9216,9216,0,48655583.812,48656292.062,708.250
4,30,3,0,9504,9504,0,50155485.188,50156269.312,784.125
4,31,4,0,9600,9600,0,50655453.875,50656237.312,783.438
4,32,9,0,10080,10080,0,53155299.750,53156080.000,780.250
4,33,15,0,10656,10656,0,56155103.000,56155781.562,678.562
4,34,0,0,10752,10752,0,56655074.312,56655905.188,830.875
4,35,3,0,11040,11040,0,58154974.938,58155655.000,680.062
4,36,4,0,11136,11136,0,58654942.688,58655727.438,784.750
5,0,3,0,288,288,0,2158554.062,2159314.688,760.625
5,1,4,0,384,384,0,2658524.875,2659231.938,707.062
5,2,9,0,864,864,0,5158367.625,5159105.438,737.812
5,3,15,0,1440,1440,0,8158170.188,8158952.000,781.812
5,4,0,0,1536,1536,0,8658143.438,8658925.312,781.875
5,5,3,0,1824,1824,0,10158047.562,10158885.812,838.250
5,6,4,0,1920,1920,0,10658014.000,10658749.562,735.562
5,7,9,0,2400,2400,0,13157856.000,13158662.750,806.750
5,8,15,0,2976,2976,0,16157658.125,16158447.438,789.312
5,9,0,0,3072,3072,0,16657628.750,16658443.250,814.500
5,10,3,0,3360,3360,0,18157530.062,18158313.562,783.500
5,11,4,0,3456,3456,0,18657504.000,18658317.312,813.312
5,12,9,0,3936,3936,0,21157347.875,21158156.688,808.812
5,13,15,0,4512,4512,0,24157146.125,24157927.125,781.000
5,14,0,0,4608,4608,0,24657118.562,24657900.438,781.875
5,15,3,0,4896,4896,0,26157018.062,26157703.188,685.125
5,16,4,0,4992,4992,0,26656991.500,26657694.375,702.875
5,17,9,0,5472,5472,0,29156832.000,29157515.562,683.562
5,18,15,0,6048,6048,0,32156637.750,32157475.375,837.625
5,19,0,0,6144,6144,0,32656610.375,32657450.688,840.312
5,20,3,0,6432,6432,0,34156506.062,34157289.562,783.500
5,21,4,0,6528,6528,0,34656480.000,34657293.312,813.312
5,22,9,0,7008,7008,0,37156324.062,37157010.188,686.125
5,23,15,0,7584,7584,0,40156132.500,40156890.188,757.688
5,24,0,0,7680,7680,0,40656098.750,40656802.250,703.500
5,25,3,0,7968,7968,0,42156000.875,42156813.625,812.750
5,26,4,0,8064,8064,0,42655965.938,42656771.062,805.125
5,27,9,0,8544,8544,0,45155807.750,45156493.875,686.125
5,28,15,0,9120,9120,0,48155610.062,48156340.125,730.062
5,29,0,0,9216,9216,0,48655583.812,48656313.750,729.938
5,30,3,0,9504,9504,0,50155485.188,50156291.000,805.812
5,31,4,0,9600,9600,0,50655453.875,50656259.000,805.125
5,32,9,0,10080,10080,0,53155299.750,53156089.438,789.688
5,33,15,0,10656,10656,0,56155103.000,56155803.250,700.250
5,34,0,0,10752,10752,0,56655074.312,56655914.625,840.312
5,35,3,0,11040,11040,0,58154974.938,58155676.688,701.750
5,36,4,0,11136,11136,0,58654942.688,58655749.125,806.438
6,0,3,0,288,288,0,2158554.062,2159336.625,782.562
6,1,4,0,384,384,0,2658524.875,2659253.875,729.000
6,2,9,0,864,864,0,5158367.625,5159127.375,759.750
6,3,15,0,1440,1440,0,8158170.188,8158973.938,803.750
6,4,0,0,1536,1536,0,8658143.438,8658947.250,803.812
6,5,3,0,1824,1824,0,10158047.562,10158907.750,860.188
6,6,4,0,1920,1920,0,10658014.000,10658771.500,757.500
6,7,9,0,2400,2400,0,13157856.000,13158672.438,816.438
6,8,15,0,2976,2976,0,16157658.125,16158469.375,811.250
6,9,0,0,3072,3072,0,16657628.750,16658465.188,836.438
6,10,3,0,3360,3360,0,18157530.062,18158335.500,805.438
6,11,4,0,3456,3456,0,18657504.000,18658339.250,835.250
6,12,9,0,3936,3936,0,21157347.875,21158178.625,830.750
6,13,15,0,4512,4512,0,24157146.125,24157949.062,802.938
6,14,0,0,4608,4608,0,24657118.562,24657922.375,803.812
6,15,3,0,4896,4896,0,26157018.062,26157725.125,707.062
6,16,4,0,4992,4992,0,26656991.500,26657704.062,712.562
6,17,9,0,5472,5472,0,29156832.000,29157537.500,705.500
6,18,15,0,6048,6048,0,32156637.750,32157497.312,859.562
6,19,0,0,6144,6144,0,32656610.375,32657472.625,862.250
6,20,3,0,6432,6432,0,34156506.062,34157311.500,805.438
6,21,4,0,6528,6528,0,34656480.000,34657315.250,835.250
6,22,9,0,7008,7008,0,37156324.062,37157032.125,708.062
6,23,15,0,7584,7584,0,40156132.500,40156912.125,779.625
6,24,0,0,7680,7680,0,40656098.750,40656811.938,713.188
6,25,3,0,7968,7968,0,42156000.875,42156835.562,834.688
6,26,4,0,8064,8064,0,42655965.938,42656780.750,814.812
6,27,9,0,8544,8544,0,45155807.750,45156515.812,708.062
6,28,15,0,9120,9120,0,48155610.062,48156362.062,752.000
6,29,0,0,9216,9216,0,48655583.812,48656323.438,739.625
6,30,3,0,9504,9504,0,50155485.188,50156300.688,815.500
6,31,4,0,9600,9600,0,50655453.875,50656268.688,814.812
6,32,9,0,10080,10080,0,53155299.750,53156111.375,811.625
6,33,15,0,10656,10656,0,56155103.000,56155812.938,709.938
6,34,0,0,10752,10752,0,56655074.312,56655936.562,862.250
6,35,3,0,11040,11040,0,58154974.938,58155686.375,711.438
6,36,4,0,11136,11136,0,58654942.688,58655758.812,816.125
