channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
1,0,3,0,288,288,0,2158554.062,2159240.438,686.375
1,1,4,0,384,384,0,2658524.875,2659151.812,626.938
1,2,9,0,864,864,0,5158367.625,5159043.438,675.812
1,3,15,0,1440,1440,0,8158170.188,8158877.750,707.562
1,4,0,0,1536,1536,0,8658143.438,8658851.062,707.625
1,5,3,0,1824,1824,0,10158047.562,10158811.562,764.000
1,6,4,0,1920,1920,0,10658014.000,10658675.312,661.312
1,7,9,0,2400,2400,0,13157856.000,13158588.500,732.500
1,8,15,0,2976,2976,0,16157658.125,16158385.438,727.312
1,9,0,0,3072,3072,0,16657628.750,16658381.250,752.500
1,10,3,0,3360,3360,0,18157530.062,18158239.312,709.250
1,11,4,0,3456,3456,0,18657504.000,18658243.062,739.062
1,12,9,0,3936,3936,0,21157347.875,21158082.438,734.562
1,13,15,0,4512,4512,0,24157146.125,24157852.875,706.750
1,14,0,0,4608,4608,0,24657118.562,24657826.188,707.625
1,15,3,0,4896,4896,0,26157018.062,26157641.188,623.125
1,16,4,0,4992,4992,0,26656991.500,26657614.250,622.750
1,17,9,0,5472,5472,0,29156832.000,29157441.312,609.312
1,18,15,0,6048,6048,0,32156637.750,32157401.125,763.375
1,19,0,0,6144,6144,0,32656610.375,32657388.688,778.312
1,20,3,0,6432,6432,0,34156506.062,34157215.312,709.250
1,21,4,0,6528,6528,0,34656480.000,34657219.062,739.062
1,22,9,0,7008,7008,0,37156324.062,37156948.188,624.125
1,23,15,0,7584,7584,0,40156132.500,40156815.938,683.438
1,24,0,0,7680,7680,0,40656098.750,40656722.125,623.375
1,25,3,0,7968,7968,0,42156000.875,42156739.375,738.500
1,26,4,0,8064,8064,0,42655965.938,42656696.812,730.875
1,27,9,0,8544,8544,0,45155807.750,45156431.875,624.125
1,28,15,0,9120,9120,0,48155610.062,48156265.875,655.812
1,29,0,0,9216,9216,0,48655583.812,48656239.500,655.688
1,30,3,0,9504,9504,0,50155485.188,50156216.750,731.562
1,31,4,0,9600,9600,0,50655453.875,50656184.750,730.875
1,32,9,0,10080,10080,0,53155299.750,53156027.438,727.688
1,33,15,0,10656,10656,0,56155103.000,56155729.000,626.000
1,34,0,0,10752,10752,0,56655074.312,56655852.625,778.312
1,35,3,0,11040,11040,0,58154974.938,58155602.438,627.500
1,36,4,0,11136,11136,0,58654942.688,58655674.875,732.188
2,0,3,0,288,288,0,2158554.062,2159261.250,707.188
2,1,4,0,384,384,0,2658524.875,2659160.375,635.500
2,2,9,0,864,864,0,5158367.625,5159052.000,684.375
2,3,15,0,1440,1440,0,8158170.188,8158898.562,728.375
2,4,0,0,1536,1536,0,8658143.438,8658871.875,728.438
2,5,3,0,1824,1824,0,10158047.562,10158832.375,784.812
2,6,4,0,1920,1920,0,10658014.000,10658696.125,682.125
2,7,9,0,2400,2400,0,13157856.000,13158609.312,753.312
2,8,15,0,2976,2976,0,16157658.125,16158394.000,735.875
2,9,0,0,3072,3072,0,16657628.750,16658389.812,761.062
2,10,3,0,3360,3360,0,18157530.062,18158260.125,730.062
2,11,4,0,3456,3456,0,18657504.000,18658263.875,759.875
2,12,9,0,3936,3936,0,21157347.875,21158103.250,755.375
2,13,15,0,4512,4512,0,24157146.125,24157873.688,727.562
2,14,0,0,4608,4608,0,24657118.562,24657847.000,728.438
2,15,3,0,4896,4896,0,26157018.062,26157649.750,631.688
2,16,4,0,4992,4992,0,26656991.500,26657622.812,631.312
2,17,9,0,5472,5472,0,29156832.000,29157462.125,630.125
2,18,15,0,6048,6048,0,32156637.750,32157421.938,784.188
2,19,0,0,6144,6144,0,32656610.375,32657397.250,786.875
