channel,kind,tick,us
0,E,1648,4093015.500
0,E,1650,4097181.500
0,E,1652,4101348.250
0,E,1654,4105516.438
0,E,1716,4234659.500
0,E,1718,4238835.938
0,E,1720,4242991.562
0,E,1722,4247158.312
0,E,1724,4251323.562
0,E,1726,4255492.375
0,E,1728,4259655.688
0,E,1730,4263821.625
0,E,1732,4267987.562
0,E,1734,4272153.812
0,E,1736,4276319.500
0,E,1738,4280489.938
0,E,1764,4334643.500
0,E,1766,4338809.562
0,E,1768,4342975.562
0,E,1770,4347141.500
0,E,1772,4351312.125
0,E,1774,4355475.688
0,E,1776,4359639.500
0,E,1778,4363805.688
0,E,1780,4367971.500
0,E,1782,4372139.062
0,E,1784,4376303.500
0,E,1786,4380469.500
0,E,1836,4484619.500
0,E,1838,4488786.438
0,E,1840,4492951.625
0,E,1842,4497117.500
0,E,1844,4501283.562
0,E,1846,4505454.188
0,E,1908,4634595.562
0,E,1910,4638762.938
0,E,1912,4642927.562
0,E,1914,4647093.500
0,E,1916,4651259.500
0,E,1918,4655429.938
0,E,1920,4659591.562
0,E,1922,4663761.688
0,E,1924,4667923.500
0,E,1926,4672089.500
0,E,1928,4676255.500
0,E,1930,4680421.500
0,E,1956,4734579.500
0,E,1958,4738749.688
0,E,1960,4742911.500
0,E,1962,4747085.938
0,E,1964,4751244.125
0,E,1966,4755409.938
0,E,1968,4759575.500
0,E,1970,4763741.625
0,E,1972,4767907.500
0,E,1974,4772073.750
0,E,1976,4776239.562
0,E,1978,4780409.500
0,E,2028,4884555.500
0,E,2030,4888721.625
0,E,2032,4892887.562
0,E,2034,4897053.562
0,E,2036,4901219.562
0,E,2038,4905388.000
0,E,2100,5034531.500
0,E,2102,5038707.875
0,E,2104,5042863.938
0,E,2106,5047029.500
0,E,2108,5051195.500
0,E,2110,5055365.312
0,E,2112,5059527.500
0,E,2114,5063694.125
0,E,2116,5067859.500
0,E,2118,5072031.125
0,E,2120,5076191.562
0,E,2122,5080362.875
0,E,2148,5134515.562
0,E,2150,5138682.812
0,E,2152,5142847.500
0,E,2154,5147013.500
0,E,2156,5151179.500
0,E,2158,5155350.062
0,E,2160,5159511.500
0,E,2162,5163687.062
0,E,2164,5167843.500
0,E,2166,5172012.250
0,E,2168,5176175.500
0,E,2170,5180341.500
0,E,2220,5284491.500
0,E,2222,5288669.188
0,E,2224,5292823.500
0,E,2226,5296989.562
0,E,2228,5301155.562
0,E,2230,5305321.562
0,E,2292,5434467.562
0,E,2294,5438645.625
0,E,2296,5442799.500
0,E,2298,5446965.500
0,E,2300,5451131.688
0,E,2302,5455297.500
0,E,2304,5459463.500
0,E,2306,5463629.688
0,E,2308,5467795.562
0,E,2310,5471963.062
0,E,2312,5476127.500
0,E,2314,5480298.438
0,E,2340,5534451.500
0,E,2342,5538617.562
0,E,2344,5542783.625
0,E,2346,5546949.500
0,E,2348,5551115.500
0,E,2350,5555281.500
0,E,2352,5559447.688
0,E,2354,5563613.500
0,E,2356,5567780.188
0,E,2358,5571945.500
0,E,2360,5576111.812
0,E,2362,5580277.625
0,E,2412,5684427.500
0,E,2414,5688593.625
0,E,2416,5692759.500
0,E,2418,5696925.562
0,E,2420,5701091.812
0,E,2422,5705257.500
0,E,2484,5834403.500
0,E,2486,5838570.000
0,E,2488,5842735.500
0,E,2490,5846912.438
0,E,2492,5851067.500
0,E,2494,5855234.062
0,E,2496,5859399.562
0,E,2498,5863565.500
0,E,2500,5867732.812
0,E,2502,5871901.250
0,E,2504,5876063.750
0,E,2506,5880229.625
0,E,2532,5934387.500
0,E,2534,5938553.938
0,E,2536,5942719.500
0,E,2538,5946885.688
0,E,2540,5951051.500
0,E,2542,5955222.125
0,E,2544,5959383.500
0,E,2546,5963558.562
0,E,2548,5967718.562
0,E,2550,5971881.500
0,E,2552,5976047.812
0,E,2554,5980216.000
0,E,2604,6084363.500
0,E,2606,6088529.688
0,E,2608,6092695.562
0,E,2610,6096861.500
0,E,2612,6101027.500
0,E,2614,6105193.562
0,E,2676,6234340.125
0,E,2678,6238506.438
0,E,2680,6242671.562
0,E,2682,6246839.188
0,E,2684,6251003.688
0,E,2686,6255169.500
0,E,2688,6259335.500
0,E,2690,6263509.812
0,E,2692,6267667.562
0,E,2694,6271844.938
0,E,2696,6275999.562
0,E,2698,6280165.500
0,E,2724,6334323.500
0,E,2726,6338489.625
0,E,2728,6342655.500
0,E,2730,6346821.562
0,E,2732,6350987.500
0,E,2734,6355164.562
0,E,2736,6359319.562
0,E,2738,6363497.750
0,E,2740,6367651.500
0,E,2742,6371822.750
0,E,2744,6375983.562
0,E,2746,6380149.562
0,E,2796,6484299.625
