channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
1,0,3,0,288,288,0,2158554.062,2159240.438,686.375
1,1,4,0,384,384,0,2658524.875,2659151.812,626.938
1,2,9,0,864,864,0,5158367.625,5159043.438,675.812
1,3,15,0,1440,1440,0,8158170.188,8158877.750,707.562
1,4,0,0,1536,1536,0,8658143.438,8658851.062,707.625
1,5,3,0,1824,1824,0,10158047.562,10158811.562,764.000
1,6,4,0,1920,1920,0,10658014.000,10658675.312,661.312
1,7,9,0,2400,2400,0,13157856.000,13158588.500,732.500
1,8,15,0,2976,2976,0,16157658.125,16158385.438,727.312
1,9,0,0,3072,3072,0,16657628.750,16658381.250,752.500
1,10,3,0,3360,3360,0,18157530.062,18158239.312,709.250
1,11,4,0,3456,3456,0,18657504.000,18658243.062,739.062
1,12,9,0,3936,3936,0,21157347.875,21158082.438,734.562
1,13,15,0,4512,4512,0,24157146.125,24157852.875,706.750
1,14,0,0,4608,4608,0,24657118.562,24657826.188,707.625
1,15,3,0,4896,4896,0,26157018.062,26157641.188,623.125
1,16,4,0,4992,4992,0,26656991.500,26657614.250,622.750
1,17,9,0,5472,5472,0,29156832.000,29157441.312,609.312
1,18,15,0,6048,6048,0,32156637.750,32157401.125,763.375
1,19,0,0,6144,6144,0,32656610.375,32657388.688,778.312
1,20,3,0,6432,6432,0,34156506.062,34157215.312,709.250
1,21,4,0,6528,6528,0,34656480.000,34657219.062,739.062
1,22,9,0,7008,7008,0,37156324.062,37156948.188,624.125
1,23,15,0,7584,7584,0,40156132.500,40156815.938,683.438
1,24,0,0,7680,7680,0,40656098.750,40656722.125,623.375
1,25,3,0,7968,7968,0,42156000.875,42156739.375,738.500
1,26,4,0,8064,8064,0,42655965.938,42656696.812,730.875
1,27,9,0,8544,8544,0,45155807.750,45156431.875,624.125
1,28,15,0,9120,9120,0,48155610.062,48156265.875,655.812
1,29,0,0,9216,9216,0,48655583.812,48656239.500,655.688
1,30,3,0,9504,9504,0,50155485.188,50156216.750,731.562
1,31,4,0,9600,9600,0,50655453.875,50656184.750,730.875
1,32,9,0,10080,10080,0,53155299.750,53156027.438,727.688
1,33,15,0,10656,10656,0,56155103.000,56155729.000,626.000
1,34,0,0,10752,10752,0,56655074.312,56655852.625,778.312
1,35,3,0,11040,11040,0,58154974.938,58155602.438,627.500
1,36,4,0,11136,11136,0,58654942.688,58655674.875,732.188
1,37,9,0,11616,11616,0,61154784.250,61155441.062,656.812
1,38,15,0,12192,12192,0,64154586.062,64155287.312,701.250
1,39,0,0,12288,12288,0,64654558.875,64655285.438,726.562
1,40,3,0,12576,12576,0,66154458.062,66155185.875,727.812
1,41,4,0,12672,12672,0,66654430.625,66655162.812,732.188
1,42,9,0,13152,13152,0,69154276.000,69154977.688,701.688
1,43,15,0,13728,13728,0,72154074.062,72154827.562,753.500
1,44,0,0,13824,13824,0,72654046.500,72654669.875,623.375
1,45,3,0,14112,14112,0,74153948.062,74154634.500,686.438
1,46,4,0,14208,14208,0,74653922.625,74654628.812,706.188
1,47,9,0,14688,14688,0,77153761.125,77154444.000,682.875
1,48,15,0,15264,15264,0,80153564.938,80154302.500,737.562
1,49,0,0,15360,15360,0,80653533.438,80654272.500,739.062
1,50,3,0,15648,15648,0,82153434.125,82154160.688,726.562
1,51,4,0,15744,15744,0,82653407.688,82654030.438,622.750
1,52,9,0,16224,16224,0,85153247.875,85153857.188,609.312
1,53,15,0,16800,16800,0,88153054.000,88153707.062,653.062
1,54,0,0,16896,16896,0,88653026.625,88653650.000,623.375
1,55,3,0,17184,17184,0,90152922.062,90153630.188,708.125
1,56,4,0,17280,17280,0,90652898.500,90653656.625,758.125
