channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
3,12,9,0,3936,3936,0,21157348.375,21158003.312,654.938
3,13,15,0,4512,4512,0,24157149.375,24157930.000,780.625
3,14,0,0,4608,4608,0,24657121.188,24657859.625,738.438
3,15,3,0,4896,4896,0,26157018.125,26157699.125,681.000
3,16,4,0,4992,4992,0,26656991.438,26657702.562,711.125
3,17,9,0,5472,5472,0,29156831.375,29157594.562,763.188
3,18,15,0,6048,6048,0,32156637.688,32157424.938,787.250
3,19,0,0,6144,6144,0,32656605.125,32657362.500,757.375
3,20,3,0,6432,6432,0,34156506.062,34157290.750,784.688
3,21,4,0,6528,6528,0,34656479.000,34657209.438,730.438
3,22,9,0,7008,7008,0,37156319.688,37156972.000,652.312
3,23,15,0,7584,7584,0,40156122.062,40156853.000,730.938
3,24,0,0,7680,7680,0,40656094.938,40656826.312,731.375
3,25,3,0,7968,7968,0,42155994.188,42156751.562,757.375
3,26,4,0,8064,8064,0,42655967.438,42656626.875,659.438
3,27,9,0,8544,8544,0,45155807.938,45156460.312,652.375
3,28,15,0,9120,9120,0,48155610.125,48156367.812,757.688
3,29,0,0,9216,9216,0,48655581.500,48656363.625,782.125
3,30,3,0,9504,9504,0,50155482.188,50156239.562,757.375
3,31,4,0,9600,9600,0,50655455.750,50656115.188,659.438
3,32,9,0,10080,10080,0,53155295.375,53156058.562,763.188
3,33,15,0,10656,10656,0,56155098.188,56155836.938,738.750
3,34,0,0,10752,10752,0,56655072.000,56655862.562,790.562
3,35,3,0,11040,11040,0,58154970.062,58155727.250,757.188
3,36,4,0,11136,11136,0,58654946.562,58655761.312,814.750
4,0,3,0,288,288,0,2158554.062,2159293.000,738.938
4,1,4,0,384,384,0,2658524.875,2659210.250,685.375
4,2,9,0,864,865,1,5158367.625,5166144.688,7777.062
4,3,15,0,1440,1440,0,8158173.250,8158963.375,790.125
4,4,0,0,1536,1536,0,8658145.062,8658905.250,760.188
4,5,3,0,1824,1824,0,10158042.062,10158829.000,786.938
4,6,4,0,1920,1920,0,10658014.812,10658825.500,810.688
4,7,9,0,2400,2400,0,13157860.188,13158647.312,787.125
4,8,15,0,2976,2976,0,16157658.125,16158411.812,753.688
4,9,0,0,3072,3072,0,16657630.812,16658409.938,779.125
4,10,3,0,3360,3360,0,18157535.188,18158325.938,790.750
4,11,4,0,3456,3456,0,18657501.625,18658259.188,757.562
4,12,9,0,3936,3936,0,21157348.375,21158025.062,676.688
4,13,15,0,4512,4512,0,24157149.375,24157939.500,790.125
4,14,0,0,4608,4608,0,24657121.188,24657881.375,760.188
4,15,3,0,4896,4896,0,26157018.125,26157720.875,702.750
4,16,4,0,4992,4992,0,26656991.438,26657724.312,732.875
4,17,9,0,5472,5472,0,29156831.375,29157616.312,784.938
4,18,15,0,6048,6048,0,32156637.688,32157446.688,809.000
4,19,0,0,6144,6144,0,32656605.125,32657384.250,779.125
4,20,3,0,6432,6432,0,34156506.062,34157312.500,806.438
4,21,4,0,6528,6528,0,34656479.000,34657231.188,752.188
4,22,9,0,7008,7008,0,37156319.688,37156993.750,674.062
4,23,15,0,7584,7584,0,40156122.062,40156874.750,752.688
4,24,0,0,7680,7680,0,40656094.938,40656848.062,753.125
4,25,3,0,7968,7968,0,42155994.188,42156773.312,779.125
4,26,4,0,8064,8064,0,42655967.438,42656648.625,681.188
4,27,9,0,8544,8544,0,45155807.938,45156482.062,674.125
4,28,15,0,9120,9120,0,48155610.125,48156389.562,779.438
4,29,0,0,9216,9216,0,48655581.500,48656385.375,803.875
4,30,3,0,9504,9504,0,50155482.188,50156261.312,779.125
4,31,4,0,9600,9600,0,50655455.750,50656136.938,681.188
4,32,9,0,10080,10080,0,53155295.375,53156080.312,784.938
4,33,15,0,10656,10656,0,56155098.188,56155858.688,760.500
4,34,0,0,10752,10752,0,56655072.000,56655884.312,812.312
4,35,3,0,11040,11040,0,58154970.062,58155749.000,778.938
4,36,4,0,11136,11136,0,58654946.562,58655783.062,836.500
5,0,3,0,288,288,0,2158554.062,2159314.688,760.625
5,1,4,0,384,384,0,2658524.875,2659231.938,707.062
5,2,9,0,864,865,1,5158367.625,5166325.625,7958.000
5,3,15,0,1440,1440,0,8158173.250,8158985.062,811.812
5,4,0,0,1536,1536,0,8658145.062,8658926.938,781.875
5,5,3,0,1824,1824,0,10158042.062,10158850.688,808.625
5,6,4,0,1920,1920,0,10658014.812,10658847.188,832.375
5,7,9,0,2400,2400,0,13157860.188,13158669.000,808.812
5,8,15,0,2976,2976,0,16157658.125,16158421.250,763.125
5,9,0,0,3072,3072,0,16657630.812,16658419.375,788.562
5,10,3,0,3360,3360,0,18157535.188,18158347.625,812.438
5,11,4,0,3456,3456,0,18657501.625,18658280.875,779.250
5,12,9,0,3936,3936,0,21157348.375,21158034.500,686.125
5,13,15,0,4512,4512,0,24157149.375,24157961.188,811.812
5,14,0,0,4608,4608,0,24657121.188,24657903.062,781.875
5,15,3,0,4896,4896,0,26157018.125,26157730.312,712.188
5,16,4,0,4992,4992,0,26656991.438,26657746.000,754.562
5,17,9,0,5472,5472,0,29156831.375,29157638.000,806.625
5,18,15,0,6048,6048,0,32156637.688,32157468.375,830.688
5,19,0,0,6144,6144,0,32656605.125,32657393.688,788.562
5,20,3,0,6432,6432,0,34156506.062,34157321.938,815.875
5,21,4,0,6528,6528,0,34656479.000,34657240.625,761.625
5,22,9,0,7008,7008,0,37156319.688,37157003.188,683.500
5,23,15,0,7584,7584,0,40156122.062,40156884.188,762.125
